id,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q11,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q18,Q20,Q21,device_type,מקור,ISAIncome
814,גבר,19,יהודי,,(08) דרום,חרדי/ת,1,לא יודע/ת,סלקום,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,לא יודע ת,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,עד 3000,,"mobile, iOS",0,עד 3000
856,אישה,19,יהודי,,(08) דרום,מסורתי/ת,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,,אף אחד מהם,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת
928,אישה,19,יהודי,,(03) מרכז,חרדי/ת,1,אחר,אינטרנט רימון/אתרוג,,,,,,,,,,,,לא יודע ת,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב
1045,גבר,19,יהודי,,(03) מרכז,דתי/ה,1,סיב אופטי,פרטנר,,,,,יס פלוס - Yes,,,,,,,,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב
1074,אישה,19,יהודי,,(04) צפון,מסורתי/ת,1,סיב אופטי,פלאפון,,,,,יס פלוס - Yes,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,עד 3000,,"mobile, iOS",0,עד 3000
1120,אישה,19,יהודי,,(08) דרום,מסורתי/ת,1,סיב אופטי,הוט נט,,,,,,,פרטנר TV,Sting TV,,,,,,נטפליקס – Netflix,דיסני פלוס,,,אמאזון פריים - Amazon Prime,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,5001-6000,,"mobile, Android",0,5001-6000
1148,אישה,19,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,פרטנר,,,,,יס פלוס - Yes,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,לא יודע/ת,קצת מתחת לממוצע,"mobile, iOS",0,9001-10000
1234,אישה,19,יהודי,,(08) דרום,מסורתי/ת,1,כבלים של הוט,הוט נט,,,Hot-NextTV,,,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,על תיכונית,8001-9000,,"mobile, iOS",0,8001-9000
84,גבר,20,יהודי,,(04) צפון,חילוני/ת,1,סיב אופטי,לא יודע/ת,,,,,,,,Sting TV,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,אחר,,,תיכונית / ישיבה קטנה,5001-6000,,"mobile, Android",0,5001-6000
197,גבר,20,יהודי,,(04) צפון,חילוני/ת,1,כבלים של הוט,הוט נט,,,,,יס פלוס - Yes,,,,,,,,,,דיסני פלוס,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,עד 3000,,desktop,0,עד 3000
198,גבר,20,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,סלקום,,,,,,סלקום TV,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,16001-18000,,desktop,0,16001-18000
377,אישה,20,יהודי,,(04) צפון,מסורתי/ת,1,קו טלפון (ADSL),019 mobile,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,הרבה מתחת לממוצע,desktop,0,עד 3000
386,אישה,20,יהודי,,(04) צפון,מסורתי/ת,1,כבלים של הוט,גולן טלקום,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,אחר,,,תיכונית / ישיבה קטנה,4001-5000,,"mobile, iOS",0,4001-5000
538,גבר,20,יהודי,,(03) מרכז,מסורתי/ת,1,כבלים של הוט,סלקום,,,,,,סלקום TV,,,,,,,,,,,,,,,,,אף אחד מהם,,אפל מיוזיק - Apple music,,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,11001-12000,,"mobile, Android",0,11001-12000
626,גבר,20,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,סלקום,,,,יס - Yes,,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,,,אמאזון פריים - Amazon Prime,,,,,,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,5001-6000,,"mobile, Android",0,5001-6000
627,אישה,20,יהודי,,(04) צפון,חרדי/ת,1,סיב אופטי,בזק בינלאומי,,,,,,,,,,,,,אף אחד מהם,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת
701,גבר,20,יהודי,,(03) מרכז,דתי/ה,1,סיב אופטי,אינטרנט רימון/אתרוג,,,,,,,,,,,,לא יודע ת,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,על יסודית,10001-11000,,desktop,0,10001-11000
776,גבר,20,יהודי,,(03) מרכז,חרדי/ת,1,אחר,הוט נט,,הוט -Hot ,,,,,,,,,,,,,,,,,,,,,אף אחד מהם,ספוטיפיי – Spotify,,,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,,"mobile, Android",0,14001-16000
887,אישה,20,יהודי,,(09) שרון,מסורתי/ת,1,לא יודע/ת,פרטנר,,,,,,,פרטנר TV,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב
910,גבר,20,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,פרטנר,,,,,,סלקום TV,,,FreeTV,,,,,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,ספוטיפיי – Spotify,,YouTube Music   YouTube Premium,,,,,,על יסודית,מעל 36000,,"mobile, Android",0,מעל 36000
931,אישה,20,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,פרטנר,,,,,,,פרטנר TV,,,,,,,נטפליקס – Netflix,דיסני פלוס,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,7001-8000,,"mobile, iOS",0,7001-8000
