ת״ז,מגדר,גיל,לאום,הגדרה דתית,סוג חיבור האינטרנט,ספק האינטרנט,השכלה,הכנסה למשק בית,הכנסה מעל או מתחת לממוצע,סוג מכשיר,מקור,הכנסה,איזור מגורים,ספק טלויזיה ישראלי,צריכת שירותי מוזיקה,הכנסה_מספרית,ספק טלוויזיה בינלאומי,קבוצת_גיל,נטפליקס
928,אישה,19,יהודי,חרדי/ת,אחר,אינטרנט רימון/אתרוג,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(03) מרכז,לא יודע ת,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,18-25,TRUE
1045,גבר,19,יהודי,דתי/ה,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(03) מרכז,יס פלוס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix,18-25,TRUE
1074,אישה,19,יהודי,מסורתי/ת,סיב אופטי,פלאפון,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, iOS",0,עד 3000,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify,1500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
1120,אישה,19,יהודי,מסורתי/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,5001-6000,מעט מתחת לערך הממוצע,"mobile, Android",0,5001-6000,(08) דרום,פרטנר TV; Sting TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,5500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,18-25,TRUE
1148,אישה,19,יהודי,מסורתי/ת,לא יודע/ת,פרטנר,תיכונית / ישיבה קטנה,לא יודע/ת,קצת מתחת לממוצע,"mobile, iOS",0,9001-10000,(03) מרכז,יס פלוס - Yes,אף אחד מהם,9500,נטפליקס – Netflix,18-25,TRUE
1234,אישה,19,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,על תיכונית,8001-9000,מעט מתחת לערך הממוצע,"mobile, iOS",0,8001-9000,(08) דרום,Hot-NextTV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,8500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
84,גבר,20,יהודי,חילוני/ת,סיב אופטי,לא יודע/ת,תיכונית / ישיבה קטנה,5001-6000,מעט מתחת לערך הממוצע,"mobile, Android",0,5001-6000,(04) צפון,Sting TV,אחר,5500,נטפליקס – Netflix,18-25,TRUE
197,גבר,20,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,desktop,0,עד 3000,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,1500,דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,18-25,FALSE
198,גבר,20,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,16001-18000,מעט מעל הערך הממוצע,desktop,0,16001-18000,(03) מרכז,סלקום TV,ספוטיפיי – Spotify,17000,נטפליקס – Netflix,18-25,TRUE
377,אישה,20,יהודי,מסורתי/ת,קו טלפון (ADSL),019 mobile,תיכונית / ישיבה קטנה,מסרב/ת להשיב,הרבה מתחת לממוצע,desktop,0,עד 3000,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify,1500,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
386,אישה,20,יהודי,מסורתי/ת,כבלים של הוט,גולן טלקום,תיכונית / ישיבה קטנה,4001-5000,מעט מתחת לערך הממוצע,"mobile, iOS",0,4001-5000,(04) צפון,הוט -Hot,אחר,4500,נטפליקס – Netflix,18-25,TRUE
538,גבר,20,יהודי,מסורתי/ת,כבלים של הוט,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,11001-12000,מעט מתחת לערך הממוצע,"mobile, Android",0,11001-12000,(03) מרכז,סלקום TV,אפל מיוזיק - Apple music,11500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
626,גבר,20,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,5001-6000,מעט מתחת לערך הממוצע,"mobile, Android",0,5001-6000,(03) מרכז,יס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,5500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,18-25,TRUE
627,אישה,20,יהודי,חרדי/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, iOS",0,לא יודע|ת,(04) צפון,אף אחד מהם,ספוטיפיי – Spotify,,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
701,גבר,20,יהודי,דתי/ה,סיב אופטי,אינטרנט רימון/אתרוג,על יסודית,10001-11000,מעט מתחת לערך הממוצע,desktop,0,10001-11000,(03) מרכז,לא יודע ת,ספוטיפיי – Spotify,10500,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
776,גבר,20,יהודי,חרדי/ת,אחר,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(03) מרכז,הוט -Hot,ספוטיפיי – Spotify,15000,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
887,אישה,20,יהודי,מסורתי/ת,לא יודע/ת,פרטנר,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(09) שרון,פרטנר TV,אף אחד מהם,,נטפליקס – Netflix,18-25,TRUE
910,גבר,20,יהודי,חילוני/ת,סיב אופטי,פרטנר,על יסודית,מעל 36000,,"mobile, Android",0,מעל 36000,(03) מרכז,סלקום TV; FreeTV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
931,אישה,20,יהודי,חילוני/ת,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,7001-8000,מעט מתחת לערך הממוצע,"mobile, iOS",0,7001-8000,(03) מרכז,פרטנר TV,אפל מיוזיק - Apple music,7500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
975,גבר,20,ערבי - מוסלמי,חילוני/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,לא יודע/ת,דומה לממוצע,"mobile, iOS",0,12001-13000,המשולש,אף אחד מהם,YouTube Music   YouTube Premium,12500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
1069,אישה,20,יהודי,מסורתי/ת,כבלים של הוט,סמייל 012,על יסודית,7001-8000,מעט מתחת לערך הממוצע,"mobile, iOS",0,7001-8000,(04) צפון,הוט -Hot; סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,7500,יוטיוב - YouTube - מנוי בתשלום; BIGI,18-25,FALSE
1155,אישה,20,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,מסרב/ת להשיב,דומה לממוצע,"mobile, Android",0,12001-13000,(03) מרכז,יס - Yes; יס פלוס - Yes,ספוטיפיי – Spotify,12500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
1221,גבר,20,יהודי,מסורתי/ת,סיב אופטי,סלקום,יסודית,12001-13000,מעט מתחת לערך הממוצע,"mobile, iOS",0,12001-13000,(03) מרכז,פרטנר TV,אפל מיוזיק - Apple music; טיידל -  Tidal; דיזר - Deezer,12500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום; אפל TV - AppleTV; BIGI; אחר,18-25,TRUE
1235,אישה,20,ערבי - מוסלמי,חרדי/ת,קו טלפון (ADSL),בזק בינלאומי,תיכונית / ישיבה קטנה,6001-7000,מעט מתחת לערך הממוצע,"mobile, iOS",0,6001-7000,הכרמל וסביבותיו,לא יודע ת,אף אחד מהם,6500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,18-25,TRUE
128,גבר,21,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(02) ירושלים,FreeTV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,נטפליקס – Netflix,18-25,TRUE
162,גבר,21,יהודי,מסורתי/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,16001-18000,מעט מעל הערך הממוצע,desktop,0,16001-18000,(03) מרכז,הוט -Hot,YouTube Music   YouTube Premium,17000,נטפליקס – Netflix,18-25,TRUE
278,גבר,21,יהודי,מסורתי/ת,סיב אופטי,הוט נט,על תיכונית,11001-12000,מעט מתחת לערך הממוצע,desktop,0,11001-12000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,11500,נטפליקס – Netflix,18-25,TRUE
323,גבר,21,יהודי,מסורתי/ת,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(04) צפון,פרטנר TV,אף אחד מהם,10500,נטפליקס – Netflix,18-25,TRUE
370,גבר,21,יהודי,מסורתי/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, Android",0,לא יודע|ת,(03) מרכז,הוט -Hot,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,נטפליקס – Netflix,18-25,TRUE
406,אישה,21,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,9001-10000,מעט מתחת לערך הממוצע,"mobile, iOS",0,9001-10000,(03) מרכז,יס - Yes; FreeTV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,9500,נטפליקס – Netflix,18-25,TRUE
408,גבר,21,יהודי,חילוני/ת,סיב אופטי,פרטנר,על תיכונית,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(08) דרום,אחר; אף אחד מהם,YouTube Music   YouTube Premium; אחר,13500,אחר,18-25,FALSE
492,אישה,21,יהודי,מסורתי/ת,לא יודע/ת,פלאפון,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(03) מרכז,הוט -Hot,לא יודע ת,,לא יודע ת,18-25,FALSE
495,אישה,21,יהודי,מסורתי/ת,לא יודע/ת,לא יודע/ת,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב,(03) מרכז,לא יודע ת,ספוטיפיי – Spotify,,לא יודע ת,18-25,FALSE
